variavel,descricao,count,missing,missing_%,mean,median,std,min,q25,q75,max,n_unique
env_temperature,Temperatura do ar (°C),86590,0,0.0,23.8198,22.7,5.2371,10.3,19.7,26.9,40.5,291
env_humidity,Umidade do ar (%),86590,0,0.0,62.9349,61.5,12.8801,29.0,56.0,69.0,97.5,137
env_co2,CO2 (ppm),86590,0,0.0,547.6242,512.0,116.0778,413.0,479.0,569.0,1634.0,695
env_pressure,Pressão barométrica (hPa),86590,0,0.0,1009.3614,1010.0,5.1772,986.0,1006.3,1012.7,1023.1,343
soil_temperature,Temperatura do solo (°C),86408,182,0.21,22.9138,22.6,2.5292,16.85,21.3,24.85,30.2,310
soil_humidity,Umidade do solo (%),86408,182,0.21,26.2941,32.82,15.8417,0.0,3.715,37.16,58.37,4828
soil_ec,Condutividade elétrica do solo (µS/cm),86408,182,0.21,453.0842,548.5,326.4527,0.0,0.0,676.5,2030.0,2232
valve_state,"Estado da válvula (0=fechada, 1=aberta)",78890,7700,8.89,0.0052,0.0,0.0719,0.0,0.0,0.0,1.0,2
water_volume,Volume acumulado (m³),84731,1859,2.15,29480.8299,21874.0,20805.9405,7526.0,17462.0,30426.0,137422.0,953
gdd,Graus-dia acumulados (GDD),86585,5,0.01,959.6803,1029.2,524.1245,17.2,498.0,1446.2,1749.6,125
daily_mean_temperature,Temperatura média diária (°C),86585,5,0.01,24.0756,24.2,3.4094,18.2,21.3,26.5,31.6,71
sdd,Standard Day Degree (°C),86585,5,0.01,14.0748,14.2,3.4073,8.1,11.3,16.5,21.6,71
ontario_units,Ontario Units (°C),86585,5,0.01,27.9422,27.2,3.1342,21.4,25.8,29.2,36.3,75
daily_max,Temperatura máxima diária (°C),86585,5,0.01,29.1856,29.8,6.2779,18.9,22.6,34.1,40.5,94
daily_max_above_tbase,Máx acima da base (°C),86585,5,0.01,19.1856,19.8,6.2779,8.9,12.6,24.1,30.5,94
daily_max_reduction,Máx com cutoff (°C),86585,5,0.01,16.3531,17.1,3.93,8.9,12.6,19.8,22.0,85
