variavel,descricao,count,missing,missing_%,mean,median,std,min,q25,q75,max,n_unique
daily_max,Temperatura máxima diária (°C),166094,8,0.0,32.4785,34.1,6.3396,18.9,28.3,37.5,43.7,152
daily_max_above_tbase,Máx acima da base (°C),166094,8,0.0,22.4785,24.1,6.3396,8.9,18.3,27.5,33.7,152
daily_max_reduction,Máx com cutoff (°C),166094,8,0.0,16.6537,16.9,3.4404,8.9,14.4,19.6,22.0,114
daily_mean_temperature,Temperatura média diária (°C),166094,8,0.0,25.5511,25.6,3.524,16.8,23.2,28.4,32.7,105
env_co2,CO2 (ppm),166102,0,0.0,519.3814,494.0,95.752,396.0,464.0,537.0,1634.0,715
env_humidity,Umidade do ar (%),166092,10,0.01,63.1747,62.0,16.1637,18.0,53.0,74.5,100.0,166
env_pressure,Pressão barométrica (hPa),148572,17530,10.55,1009.2352,1009.7,4.8764,986.0,1006.3,1012.5,1023.1,349
env_temperature,Temperatura do ar (°C),166102,0,0.0,25.2305,23.9,6.2186,10.1,20.2,29.9,43.7,335
gdd,Graus-dia acumulados (GDD),166094,8,0.0,988.8153,1020.5,496.9981,17.2,606.6,1410.0,1876.2,271
ontario_units,Ontario Units (°C),166094,8,0.0,27.3254,26.9,2.6653,12.0,25.7,28.3,36.3,95
sdd,Standard Day Degree (°C),166094,8,0.0,15.5503,15.6,3.5223,6.8,13.2,18.4,22.7,108
soil_ec,Condutividade elétrica do solo (µS/cm),165489,613,0.37,407.0203,391.5,305.4196,0.0,183.0,608.5,32906.0,2825
soil_humidity,Umidade do solo (%),165489,613,0.37,25.671,28.35,12.4592,0.0,19.365,34.65,338.04,8024
soil_temperature,Temperatura do solo (°C),165489,613,0.37,23.6962,23.8,2.3566,12.2,22.15,25.4,43.0,410
valve_state,"Estado da válvula (0=fechada, 1=aberta)",156598,9504,5.72,0.1995,0.0,0.3996,0.0,0.0,0.0,1.0,2
water_volume,Volume acumulado (m³),163329,2773,1.67,20591.3876,17462.0,18898.4828,0.0,8028.0,25447.0,137422.0,3348
