,descricao,2023,2024,2025,consolidado
daily_max,Temperatura máxima diária (°C),36.6284,35.6668,29.1856,32.4785
daily_max_above_tbase,Máx acima da base (°C),26.6284,25.6668,19.1856,22.4785
daily_max_reduction,Máx com cutoff (°C),16.8805,17.052,16.3531,16.6537
daily_mean_temperature,Temperatura média diária (°C),27.096,27.2017,24.0756,25.5511
env_co2,CO2 (ppm),481.3467,493.7551,547.6242,519.3814
env_humidity,Umidade do ar (%),58.0691,67.2202,62.9349,63.1747
env_pressure,Pressão barométrica (hPa),1009.8003,1008.2214,1009.3614,1009.2352
env_temperature,Temperatura do ar (°C),26.9196,26.659,23.8198,25.2305
gdd,Graus-dia acumulados (GDD),680.9993,1259.895,959.6803,988.8153
ontario_units,Ontario Units (°C),25.872,27.2047,27.9422,27.3254
sdd,Standard Day Degree (°C),17.096,17.2003,14.0748,15.5503
soil_ec,Condutividade elétrica do solo (µS/cm),374.7324,344.1261,453.0842,407.0203
soil_humidity,Umidade do solo (%),25.7856,24.4363,26.2941,25.671
soil_temperature,Temperatura do solo (°C),23.9766,24.951,22.9138,23.6962
valve_state,"Estado da válvula (0=fechada, 1=aberta)",0.9571,0.015,0.0052,0.1995
water_volume,Volume acumulado (m³),16163.0357,7416.8032,29480.8299,20591.3876
