,descricao,2023,2024,2025,consolidado
daily_max,Temperatura máxima diária (°C),37.0,37.1,29.8,34.1
daily_max_above_tbase,Máx acima da base (°C),27.0,27.1,19.8,24.1
daily_max_reduction,Máx com cutoff (°C),17.0,16.5,17.1,16.9
daily_mean_temperature,Temperatura média diária (°C),27.2,28.0,24.2,25.6
env_co2,CO2 (ppm),470.0,483.0,512.0,494.0
env_humidity,Umidade do ar (%),57.0,66.0,61.5,62.0
env_pressure,Pressão barométrica (hPa),1010.5,1008.2,1010.0,1009.7
env_temperature,Temperatura do ar (°C),26.1,25.5,22.7,23.9
gdd,Graus-dia acumulados (GDD),676.6,1253.2,1029.2,1020.5
ontario_units,Ontario Units (°C),25.9,27.0,27.2,26.9
sdd,Standard Day Degree (°C),17.2,18.0,14.2,15.6
soil_ec,Condutividade elétrica do solo (µS/cm),295.0,339.0,548.5,391.5
soil_humidity,Umidade do solo (%),23.41,25.35,32.82,28.35
soil_temperature,Temperatura do solo (°C),23.8,24.95,22.6,23.8
valve_state,"Estado da válvula (0=fechada, 1=aberta)",1.0,0.0,0.0,0.0
water_volume,Volume acumulado (m³),15094.0,6694.0,21874.0,17462.0
