safra,line,inicio,fim,timestamps_observados,duracao_dias,intervalo_mediano_min,maior_gap_horas,gaps_maior_10min,gaps_maior_1h,gaps_maior_6h
2023,1,2023-06-29 06:10:00+00:00,2023-09-13 21:50:00+00:00,10959,76.65277777777777,10.0,6.833333333333333,40,1,1
2023,2,2023-06-29 06:10:00+00:00,2023-09-13 21:50:00+00:00,10959,76.65277777777777,10.0,6.833333333333333,40,1,1
2023,3,2023-06-29 06:10:00+00:00,2023-09-13 21:50:00+00:00,10959,76.65277777777777,10.0,6.833333333333333,40,1,1
2024,1,2024-06-12 00:00:00+00:00,2024-09-05 02:30:00+00:00,9327,85.10416666666667,10.0,415.3333333333333,149,3,3
2024,2,2024-06-12 00:00:00+00:00,2024-09-05 02:30:00+00:00,9327,85.10416666666667,10.0,415.3333333333333,149,3,3
2024,3,2024-06-12 00:00:00+00:00,2024-09-05 02:30:00+00:00,9327,85.10416666666667,10.0,415.3333333333333,149,3,3
2024,4,2024-06-12 00:00:00+00:00,2024-09-05 02:30:00+00:00,9327,85.10416666666667,10.0,415.3333333333333,149,3,3
2024,5,2024-06-12 00:00:00+00:00,2024-09-05 02:30:00+00:00,9327,85.10416666666667,10.0,415.3333333333333,149,3,3
2025,1,2025-06-26 05:50:00+00:00,2025-10-28 08:00:00+00:00,17318,124.09027777777777,10.0,27.833333333333332,232,5,2
2025,2,2025-06-26 05:50:00+00:00,2025-10-28 08:00:00+00:00,17318,124.09027777777777,10.0,27.833333333333332,232,5,2
2025,3,2025-06-26 05:50:00+00:00,2025-10-28 08:00:00+00:00,17318,124.09027777777777,10.0,27.833333333333332,232,5,2
2025,4,2025-06-26 05:50:00+00:00,2025-10-28 08:00:00+00:00,17318,124.09027777777777,10.0,27.833333333333332,232,5,2
2025,5,2025-06-26 05:50:00+00:00,2025-10-28 08:00:00+00:00,17318,124.09027777777777,10.0,27.833333333333332,232,5,2
